latitude,longitude,close_date,close_price
1.501986227,86.35068487,08/16/2014 22:25:32,1302246.337
36.367095,-98.66428,08/05/2014 06:34:00,147504.4948
36.599284,-97.9247,08/12/2014 23:48:01,137400.5616
67.99479099,64.68858943,08/17/2014 05:27:01,-14112
36.647982,-97.8661,08/09/2014 04:00:40,239105.3257
36.525885,-98.33357,08/07/2014 15:18:18,270885.1643
36.062457,-98.43085,07/02/2014 05:52:20,73554.74213
36.650546,-98.00084,06/24/2014 14:25:57,228513.9861
36.71369,-98.19725,06/14/2014 19:50:35,172296.8378
36.43873,-98.22748,08/12/2014 22:53:50,202508.5992
78.38459158,165.8596957,06/23/2014 12:00:31,411812.0285
36.29526,-98.638385,08/14/2014 22:51:53,52575.38966
36.200114,-98.63817,08/16/2014 15:23:34,226821.458
36.537963,-97.94613,07/16/2014 23:34:20,182671.4678
36.2108,-98.39963,08/04/2014 14:07:06,60334.08086
36.320807,-98.07824,08/18/2014 12:00:47,68288.81488
36.20816,-98.65543,06/28/2014 17:44:12,120076.7713
36.405814,-98.51387,08/07/2014 09:25:54,276574.2269
36.554065,-98.01364,08/18/2014 09:40:19,212379.0047
36.659095,-98.077686,08/09/2014 08:15:38,169896.5263
-75.42305101,-69.50835936,07/31/2014 06:34:18,288121.0942
36.519637,-98.329044,08/09/2014 00:16:23,294955.4064
36.723285,-97.98596,08/16/2014 00:16:37,379831.2085
35.993674,-98.2226,08/17/2014 21:48:30,150810.9734
36.353686,-97.94584,08/06/2014 12:02:40,82859.55565
36.935088,-99.142185,08/09/2014 14:47:52,266718.2304
33.94172908,11.17536784,08/04/2014 17:13:36,140930.5951
36.458728,-97.995426,07/21/2014 12:37:28,97383.47097
36.651225,-98.047985,07/06/2014 09:56:05,184696.4778
36.537894,-98.3745,08/08/2014 17:16:43,406833.4443
36.191893,-98.708995,08/19/2014 05:10:01,309115.3048
36.330333,-98.404575,08/10/2014 06:42:08,132245.3672
36.056876,-98.59486,06/20/2014 08:33:04,124326.4366
36.330737,-98.05592,07/12/2014 12:51:23,71806.05132
36.182513,-98.63784,06/27/2014 09:15:00,119616.3709
36.309462,-98.67939,07/06/2014 23:25:02,46607.21697
36.318313,-97.90957,08/20/2014 23:53:32,51573.08204
36.63442,-98.454906,08/15/2014 16:01:05,263487.3964
36.307418,-98.25185,08/12/2014 03:27:40,125368.8872
36.47064,-98.0698,08/07/2014 12:05:39,482013.1806
35.89901,-101.04397,08/25/2014 00:51:15,171756.0518
36.385764,-98.56786,06/23/2014 01:31:02,126656.1433
